soc_sheet,soc_label,capacity,capacity_label,SOH_percent,0.5C,1.0C,1.5C,2.0C,2.5C
SOC25,25%,20Ah,20 Ah,79.658,2.750000000000252,3.74999999999992,5.750000000000144,7.70000000000004,9.900000000000242
SOC25,25%,20Ah,20 Ah,69.32750000000001,4.349999999999854,4.650000000000043,7.449999999999957,10.25000000000009,9.90000000000002
SOC25,25%,20Ah,20 Ah,77.5915,2.899999999999903,3.649999999999931,5.850000000000133,8.099999999999996,10.20000000000021
SOC25,25%,20Ah,20 Ah,74.77199999999999,3.550000000000164,3.750000000000364,6.199999999999983,8.500000000000174,11.04999999999978
SOC25,25%,20Ah,20 Ah,76.036,2.699999999999925,3.60000000000027,5.800000000000027,7.750000000000146,9.90000000000002
SOC25,25%,20Ah,20 Ah,82.06099999999999,2.750000000000252,3.649999999999931,5.749999999999922,7.799999999999807,10.1
SOC25,25%,20Ah,20 Ah,71.258,5.15000000000021,5.349999999999966,8.849999999999802,11.64999999999994,10.45000000000007
SOC25,25%,20Ah,20 Ah,70.5805,3.849999999999909,4.199999999999759,6.70000000000015,9.299999999999864,9.599999999999831
SOC25,25%,20Ah,20 Ah,70.9525,4.799999999999915,4.799999999999915,7.750000000000368,10.65000000000005,10.1500000000001
SOC25,25%,20Ah,20 Ah,80.158,2.750000000000252,3.650000000000153,5.70000000000026,8.050000000000113,10.10000000000022
SOC25,25%,20Ah,20 Ah,78.525,2.749999999999808,3.74999999999992,5.750000000000144,7.800000000000029,9.750000000000147
SOC25,25%,20Ah,20 Ah,79.4105,3.000000000000114,3.649999999999931,5.800000000000027,8.00000000000023,10.34999999999986
SOC25,25%,20Ah,20 Ah,71.20949999999999,4.950000000000232,5.449999999999955,9.04999999999978,10.75000000000004,9.69999999999982
SOC25,25%,20Ah,20 Ah,72.34700000000001,4.349999999999854,4.349999999999854,7.150000000000212,9.949999999999903,11.79999999999981
SOC25,25%,20Ah,20 Ah,78.1655,2.849999999999797,3.549999999999942,5.650000000000155,7.800000000000029,10.00000000000023
SOC25,25%,20Ah,20 Ah,76.88550000000001,2.900000000000125,3.450000000000175,5.700000000000038,7.950000000000124,10.00000000000001
SOC25,25%,20Ah,20 Ah,70.3345,4.350000000000076,4.249999999999865,7.300000000000084,10.04999999999989,9.300000000000308
SOC25,25%,20Ah,20 Ah,72.951,3.500000000000059,3.800000000000026,6.200000000000205,8.69999999999993,11.2000000000001
SOC25,25%,20Ah,20 Ah,73.899,3.650000000000153,3.900000000000015,6.199999999999983,8.950000000000236,11.49999999999984
SOC25,25%,20Ah,20 Ah,75.5425,3.300000000000081,3.949999999999898,6.150000000000322,8.549999999999836,10.80000000000014
SOC25,25%,20Ah,20 Ah,71.79249999999999,3.949999999999898,4.149999999999876,6.450000000000067,9.34999999999997,11.40000000000008
SOC25,25%,20Ah,20 Ah,73.25999999999999,3.649999999999931,3.750000000000142,6.099999999999994,8.600000000000163,10.9999999999999
SOC25,25%,20Ah,20 Ah,79.54100000000001,2.750000000000252,3.849999999999909,5.900000000000016,8.050000000000335,10.1
SOC25,25%,20Ah,20 Ah,79.6725,2.95000000000023,3.74999999999992,5.950000000000122,8.099999999999996,10.39999999999996
SOC25,25%,20Ah,20 Ah,78.3055,2.650000000000041,3.649999999999931,5.650000000000155,7.70000000000004,9.850000000000136
SOC25,25%,20Ah,20 Ah,73.4855,3.799999999999804,3.849999999999909,6.450000000000289,9.099999999999886,11.70000000000004
SOC25,25%,20Ah,20 Ah,82.063,2.649999999999819,3.74999999999992,5.749999999999922,7.90000000000024,10.1500000000001
SOC25,25%,20Ah,20 Ah,81.4085,2.500000000000169,3.74999999999992,5.849999999999911,7.849999999999913,9.899999999999798
SOC25,25%,20Ah,20 Ah,81.8965,2.75000000000003,3.850000000000131,5.849999999999911,7.850000000000135,10.1
SOC25,25%,20Ah,20 Ah,76.947,3.249999999999753,3.649999999999931,5.849999999999911,8.25000000000009,10.70000000000015
SOC25,25%,20Ah,20 Ah,79.023,2.75000000000003,3.750000000000364,5.750000000000144,7.950000000000124,10.00000000000001
SOC25,25%,20Ah,20 Ah,77.4745,3.249999999999975,3.849999999999909,5.900000000000016,8.299999999999974,11.00000000000012
SOC25,25%,20Ah,20 Ah,79.7295,2.54999999999983,3.750000000000142,5.800000000000027,7.949999999999902,9.90000000000002
SOC25,25%,20Ah,20 Ah,66.631,4.700000000000371,4.799999999999915,7.950000000000124,10.9999999999999,9.250000000000203
SOC25,25%,20Ah,20 Ah,74.095,4.15000000000032,4.000000000000226,6.699999999999928,9.550000000000392,12.00000000000001
SOC25,25%,20Ah,20 Ah,78.269,2.849999999999797,3.649999999999931,5.750000000000144,7.800000000000029,9.90000000000002
SOC25,25%,20Ah,20 Ah,71.36250000000001,4.000000000000004,4.250000000000087,6.70000000000015,9.34999999999997,9.500000000000064
SOC25,25%,20Ah,20 Ah,80.3125,3.100000000000103,3.74999999999992,6.000000000000227,8.200000000000207,10.60000000000016
SOC25,25%,20Ah,20 Ah,78.543,3.100000000000103,3.74999999999992,5.800000000000027,8.000000000000007,10.3000000000002
SOC25,25%,20Ah,20 Ah,80.7565,2.699999999999703,3.74999999999992,5.849999999999911,7.950000000000124,10.29999999999998
SOC25,25%,20Ah,20 Ah,79.629,2.649999999999819,3.650000000000153,5.750000000000144,7.600000000000051,9.55000000000017
SOC25,25%,20Ah,20 Ah,80.91950000000001,2.650000000000041,3.74999999999992,5.650000000000155,7.399999999999851,9.650000000000158
SOC25,25%,20Ah,20 Ah,80.822,2.750000000000252,3.849999999999909,5.649999999999933,7.800000000000251,9.849999999999914
SOC25,25%,20Ah,20 Ah,69.0345,4.699999999999926,4.60000000000016,7.500000000000062,10.45000000000007,8.650000000000269
SOC25,25%,20Ah,20 Ah,73.705,3.299999999999637,3.849999999999909,6.099999999999772,8.599999999999941,11.00000000000012
SOC25,25%,20Ah,20 Ah,73.3985,4.649999999999821,4.599999999999715,7.649999999999935,10.65000000000005,10.35000000000008
SOC25,25%,20Ah,20 Ah,80.96650000000001,2.850000000000241,3.74999999999992,5.800000000000249,8.050000000000113,10.20000000000021
SOC25,25%,20Ah,20 Ah,78.4075,2.849999999999797,3.849999999999909,5.850000000000133,8.000000000000007,10.10000000000022
SOC25,25%,20Ah,20 Ah,68.233,4.449999999999843,4.550000000000054,7.349999999999968,10.45000000000007,9.400000000000297
SOC25,25%,20Ah,20 Ah,80.4905,2.749999999999808,3.74999999999992,5.750000000000144,7.900000000000018,9.90000000000002
SOC25,25%,20Ah,20 Ah,74.022,4.750000000000254,4.850000000000021,8.00000000000023,11.10000000000011,10.00000000000001
SOC25,25%,20Ah,20 Ah,80.06800000000001,2.750000000000252,3.74999999999992,6.000000000000227,7.950000000000124,10.10000000000022
SOC25,25%,20Ah,20 Ah,79.8405,2.749999999999586,3.74999999999992,5.849999999999911,8.000000000000007,10.24999999999987
SOC25,25%,20Ah,20 Ah,77.3935,2.750000000000252,3.649999999999931,5.600000000000049,7.850000000000357,10.00000000000001
SOC25,25%,20Ah,20 Ah,79.18499999999999,2.550000000000274,3.650000000000153,5.700000000000038,7.750000000000368,9.90000000000002
SOC25,25%,20Ah,20 Ah,79.9945,2.750000000000252,3.649999999999931,5.750000000000144,7.900000000000018,10.050000000000109
SOC25,25%,20Ah,20 Ah,76.161,3.350000000000186,3.850000000000131,6.199999999999983,8.650000000000269,10.89999999999991
SOC25,25%,20Ah,20 Ah,72.05799999999999,3.450000000000175,3.950000000000342,6.300000000000194,8.700000000000152,11.24999999999976
SOC25,25%,20Ah,20 Ah,74.28,3.000000000000114,3.649999999999931,5.800000000000027,7.899999999999796,10.40000000000019
SOC25,25%,20Ah,20 Ah,71.66900000000001,4.3000000000001934,4.350000000000298,6.950000000000234,9.650000000000158,9.700000000000042
SOC25,25%,20Ah,20 Ah,79.7385,3.000000000000114,3.74999999999992,5.800000000000249,8.050000000000113,10.20000000000021
SOC25,25%,20Ah,20 Ah,82.0415,2.950000000000008,3.850000000000131,5.750000000000144,7.900000000000018,10.20000000000021
SOC25,25%,20Ah,20 Ah,73.1745,3.899999999999793,3.949999999999898,6.1500000000001,9.099999999999886,11.54999999999995
SOC25,25%,20Ah,20 Ah,68.61349999999999,4.550000000000054,4.650000000000043,7.649999999999935,10.45000000000007,9.499999999999842
SOC25,25%,20Ah,20 Ah,81.3385,2.650000000000263,3.850000000000131,6.000000000000227,8.050000000000113,10.14999999999988
SOC25,25%,20Ah,20 Ah,72.4305,4.800000000000137,5.199999999999871,8.500000000000174,11.49999999999984,10.55000000000006
SOC25,25%,20Ah,20 Ah,74.5805,3.449999999999953,4.000000000000004,6.099999999999994,8.600000000000163,11.10000000000011
SOC25,25%,20Ah,20 Ah,74.3805,4.150000000000098,4.200000000000204,6.70000000000015,9.549999999999947,12.00000000000023
SOC25,25%,20Ah,20 Ah,80.5825,2.750000000000252,3.74999999999992,5.749999999999922,7.90000000000024,10.1
SOC25,25%,20Ah,20 Ah,80.60499999999999,2.600000000000158,3.599999999999826,5.800000000000249,7.950000000000124,9.900000000000242
SOC25,25%,20Ah,20 Ah,70.3445,3.949999999999898,4.149999999999876,6.650000000000267,9.599999999999831,10.19999999999999
SOC25,25%,20Ah,20 Ah,78.43050000000001,2.850000000000241,3.649999999999931,5.749999999999922,7.700000000000262,9.90000000000002
SOC25,25%,20Ah,20 Ah,71.25250000000001,4.149999999999876,4.150000000000098,6.749999999999812,9.600000000000053,10.3000000000002
SOC25,25%,20Ah,20 Ah,71.9275,4.000000000000004,4.250000000000087,6.600000000000161,9.549999999999947,10.00000000000001
SOC25,25%,20Ah,20 Ah,68.794,5.250000000000199,5.800000000000249,9.250000000000203,10.50000000000018,9.399999999999853
SOC25,25%,20Ah,20 Ah,80.036,2.749999999999808,3.649999999999931,5.850000000000133,7.900000000000018,10.050000000000109
SOC25,25%,20Ah,20 Ah,72.52199999999999,4.150000000000098,4.200000000000204,6.70000000000015,9.549999999999947,10.00000000000001
SOC25,25%,20Ah,20 Ah,81.594,2.75000000000003,3.650000000000153,5.649999999999933,7.950000000000124,10.1
SOC25,25%,20Ah,20 Ah,79.76650000000001,2.750000000000252,3.650000000000153,5.900000000000016,7.950000000000346,10.1
SOC25,25%,20Ah,20 Ah,82.55250000000001,2.750000000000252,3.549999999999942,5.650000000000155,7.500000000000062,9.650000000000158
SOC25,25%,20Ah,20 Ah,75.68599999999999,3.450000000000175,3.900000000000015,6.049999999999889,8.550000000000058,10.89999999999991
SOC25,25%,20Ah,20 Ah,73.8135,3.099999999999659,3.549999999999942,5.700000000000038,8.000000000000007,10.40000000000019
SOC25,25%,20Ah,20 Ah,76.375,3.499999999999837,3.600000000000048,5.849999999999911,8.25000000000009,10.80000000000014
SOC25,25%,20Ah,20 Ah,75.7495,3.850000000000353,4.050000000000331,6.549999999999834,9.300000000000086,11.74999999999993
SOC25,25%,20Ah,20 Ah,78.84400000000001,2.95000000000023,3.849999999999909,5.749999999999922,8.00000000000023,10.19999999999999
SOC25,25%,20Ah,20 Ah,81.82449999999999,2.649999999999819,3.650000000000153,5.549999999999944,7.49999999999984,9.749999999999925
SOC25,25%,20Ah,20 Ah,76.505,3.100000000000103,3.750000000000142,5.800000000000027,7.850000000000135,10.00000000000001
SOC25,25%,20Ah,20 Ah,75.6275,2.999999999999892,3.750000000000142,5.800000000000027,8.099999999999996,10.50000000000018
SOC25,25%,20Ah,20 Ah,71.64150000000001,4.999999999999893,5.50000000000006,8.90000000000013,11.90000000000002,10.8499999999998
SOC25,25%,20Ah,20 Ah,79.025,3.599999999999826,3.900000000000015,6.29999999999975,8.799999999999919,11.2500000000002
SOC25,25%,20Ah,20 Ah,77.0165,2.750000000000252,3.649999999999931,5.549999999999944,7.600000000000051,9.600000000000053
SOC25,25%,20Ah,20 Ah,77.40549999999999,3.100000000000103,3.74999999999992,5.900000000000016,8.099999999999996,10.250000000000309
SOC25,25%,20Ah,20 Ah,80.21900000000001,2.699999999999925,3.750000000000142,5.849999999999911,7.900000000000018,9.950000000000125
SOC25,25%,20Ah,20 Ah,78.036,3.000000000000114,3.74999999999992,5.700000000000038,8.199999999999985,10.3000000000002
SOC25,25%,20Ah,20 Ah,78.619,2.95000000000023,3.650000000000153,5.800000000000027,8.14999999999988,10.40000000000019
SOC25,25%,20Ah,20 Ah,82.075,2.700000000000147,3.74999999999992,5.749999999999922,7.749999999999924,10.00000000000023
SOC25,25%,20Ah,20 Ah,77.4025,2.649999999999819,3.650000000000153,5.700000000000038,7.849999999999913,9.90000000000002
SOC25,25%,20Ah,20 Ah,74.2885,2.899999999999903,3.74999999999992,5.750000000000144,7.900000000000018,10.19999999999999
SOC25,25%,20Ah,20 Ah,80.5055,2.850000000000019,3.649999999999931,5.650000000000155,8.000000000000007,10.20000000000021
SOC25,25%,20Ah,20 Ah,73.358,3.449999999999953,3.649999999999709,6.000000000000227,8.399999999999963,10.85000000000025
SOC25,25%,20Ah,20 Ah,79.89699999999999,2.850000000000241,3.74999999999992,5.800000000000249,7.949999999999902,10.20000000000021
SOC25,25%,20Ah,20 Ah,73.5635,3.849999999999909,3.9999999999997824,6.399999999999961,9.050000000000225,11.49999999999984
SOC25,25%,35Ah,35 Ah,80.49657142857143,2.40000000000018,3.649999999999931,5.349999999999744,7.299999999999862,9.349999999999747
SOC25,25%,35Ah,35 Ah,81.35085714285714,2.499999999999947,3.849999999999909,5.649999999999933,7.449999999999735,9.24999999999998
SOC25,25%,35Ah,35 Ah,80.06771428571429,2.299999999999747,3.350000000000186,5.15000000000021,6.950000000000012,8.850000000000247
SOC25,25%,35Ah,35 Ah,78.76828571428571,2.399999999999958,3.54999999999972,5.450000000000177,7.249999999999757,8.999999999999897
SOC25,25%,35Ah,35 Ah,82.06942857142857,2.399999999999736,3.750000000000142,5.449999999999955,7.300000000000084,9.149999999999991
SOC25,25%,35Ah,35 Ah,82.52085714285714,2.3000000000001912,3.550000000000164,5.400000000000071,7.450000000000179,9.449999999999958
SOC25,25%,35Ah,35 Ah,82.63371428571429,2.500000000000169,3.849999999999909,5.749999999999922,7.449999999999957,9.449999999999958
SOC25,25%,35Ah,35 Ah,82.26028571428571,2.499999999999947,3.549999999999942,5.349999999999966,7.449999999999735,9.24999999999998
SOC25,25%,35Ah,35 Ah,86.64914285714286,2.399999999999736,3.450000000000175,5.249999999999977,6.850000000000023,8.650000000000047
SOC25,25%,35Ah,35 Ah,82.70085714285715,2.40000000000018,3.74999999999992,5.749999999999922,7.699999999999818,9.749999999999925
SOC25,25%,35Ah,35 Ah,74.36399999999999,2.349999999999852,3.500000000000281,5.349999999999966,7.100000000000106,9.050000000000225
SOC25,25%,35Ah,35 Ah,85.41371428571428,2.350000000000074,3.649999999999931,5.550000000000166,7.449999999999957,9.24999999999998
SOC25,25%,35Ah,35 Ah,83.08114285714285,2.450000000000063,3.549999999999942,5.350000000000188,7.249999999999979,9.050000000000002
SOC25,25%,35Ah,35 Ah,83.88257142857142,2.349999999999852,3.60000000000027,5.400000000000293,7.35000000000019,9.150000000000214
SOC25,25%,35Ah,35 Ah,84.11685714285714,2.350000000000074,3.449999999999953,5.400000000000071,7.049999999999779,8.799999999999919
SOC25,25%,35Ah,35 Ah,82.23485714285714,2.399999999999736,3.550000000000164,5.449999999999955,7.349999999999968,9.299999999999864
SOC25,25%,35Ah,35 Ah,81.33142857142857,2.40000000000018,3.449999999999953,5.350000000000188,7.14999999999999,9.000000000000119
SOC25,25%,35Ah,35 Ah,82.41457142857142,2.40000000000018,3.74999999999992,5.499999999999838,7.449999999999957,9.24999999999998
SOC25,25%,35Ah,35 Ah,85.35914285714286,2.40000000000018,3.350000000000186,5.249999999999977,6.950000000000012,8.950000000000236
SOC25,25%,35Ah,35 Ah,82.64828571428572,2.350000000000074,3.649999999999931,5.550000000000166,7.450000000000179,9.149999999999991
SOC25,25%,35Ah,35 Ah,83.336,2.54999999999983,3.650000000000153,5.550000000000166,7.450000000000179,9.250000000000203
SOC25,25%,35Ah,35 Ah,76.33,2.399999999999958,3.750000000000142,5.450000000000177,7.449999999999957,9.300000000000086
SOC25,25%,35Ah,35 Ah,85.59142857142858,2.54999999999983,3.650000000000153,5.649999999999933,7.650000000000157,9.649999999999936
SOC25,25%,35Ah,35 Ah,84.99714285714285,2.399999999999736,3.450000000000175,5.349999999999966,7.300000000000084,8.950000000000236
SOC25,25%,35Ah,35 Ah,84.82771428571428,2.299999999999747,3.550000000000164,5.400000000000071,7.35000000000019,9.24999999999998
SOC25,25%,35Ah,35 Ah,84.5277142857143,2.3000000000001912,3.349999999999964,5.349999999999744,7.099999999999884,9.050000000000002
SOC25,25%,35Ah,35 Ah,82.10257142857144,2.150000000000096,3.349999999999964,5.650000000000155,7.249999999999979,9.149999999999991
SOC25,25%,35Ah,35 Ah,88.986,2.200000000000202,3.350000000000186,4.95000000000001,6.750000000000034,8.55000000000028
SOC25,25%,35Ah,35 Ah,89.41942857142857,2.150000000000096,3.449999999999953,5.349999999999966,7.149999999999768,8.850000000000025
SOC25,25%,35Ah,35 Ah,88.78885714285715,2.399999999999736,3.450000000000175,5.250000000000199,7.100000000000106,8.850000000000247
SOC25,25%,35Ah,35 Ah,87.44714285714285,2.299999999999969,3.449999999999731,5.350000000000188,7.249999999999757,8.90000000000013
SOC25,25%,35Ah,35 Ah,90.35257142857142,2.350000000000074,3.449999999999953,5.350000000000188,7.449999999999957,9.24999999999998
SOC25,25%,35Ah,35 Ah,76.85371428571429,2.499999999999725,3.550000000000164,5.449999999999955,7.349999999999968,9.199999999999875
SOC25,25%,35Ah,35 Ah,90.61085714285714,2.349999999999852,3.650000000000153,5.349999999999744,7.450000000000179,9.150000000000214
SOC25,25%,35Ah,35 Ah,91.09142857142858,2.349999999999852,3.450000000000175,5.249999999999755,7.050000000000223,8.749999999999813
SOC25,25%,35Ah,35 Ah,85.786,2.40000000000018,3.549999999999942,5.449999999999733,7.399999999999851,9.349999999999747
SOC25,25%,35Ah,35 Ah,88.30285714285714,2.399999999999736,3.650000000000153,5.349999999999966,7.249999999999979,8.899999999999908
SOC25,25%,35Ah,35 Ah,90.7,2.450000000000063,3.599999999999826,5.399999999999849,7.149999999999768,8.950000000000014
SOC25,25%,35Ah,35 Ah,88.35542857142856,2.350000000000074,3.399999999999848,5.249999999999977,7.099999999999884,9.050000000000002
SOC25,25%,35Ah,35 Ah,89.43057142857143,2.40000000000018,3.549999999999942,5.449999999999733,7.399999999999851,9.349999999999747
SOC25,25%,35Ah,35 Ah,89.22485714285713,2.299999999999969,3.349999999999742,5.350000000000188,7.35000000000019,9.100000000000108
SOC25,25%,35Ah,35 Ah,87.98314285714287,2.250000000000085,3.649999999999931,5.349999999999966,7.049999999999779,8.850000000000025
SOC25,25%,35Ah,35 Ah,88.73885714285714,2.199999999999758,3.549999999999942,5.249999999999977,6.950000000000012,8.850000000000025
SOC25,25%,35Ah,35 Ah,77.39171428571429,2.499999999999725,3.450000000000175,5.349999999999966,7.14999999999999,8.999999999999897
SOC25,25%,35Ah,35 Ah,86.91085714285714,2.399999999999736,3.450000000000175,5.249999999999977,7.14999999999999,9.000000000000119
SOC25,25%,35Ah,35 Ah,87.08857142857144,2.350000000000074,3.649999999999931,5.349999999999966,7.349999999999746,9.050000000000002
SOC25,25%,35Ah,35 Ah,91.47485714285713,2.200000000000202,3.549999999999942,5.249999999999755,7.050000000000001,9.04999999999978
SOC25,25%,35Ah,35 Ah,92.2802857142857,2.299999999999747,3.550000000000164,5.349999999999966,7.100000000000106,9.150000000000214
SOC25,25%,35Ah,35 Ah,96.23314285714287,2.40000000000018,3.249999999999975,4.949999999999788,6.850000000000023,8.550000000000058
SOC25,25%,35Ah,35 Ah,92.08057142857143,2.499999999999947,3.450000000000175,5.249999999999977,7.049999999999779,8.850000000000025
SOC25,25%,35Ah,35 Ah,95.78857142857143,2.19999999999998,3.249999999999753,4.95000000000001,6.749999999999812,8.449999999999847
SOC25,25%,35Ah,35 Ah,79.98028571428571,2.550000000000052,3.599999999999826,5.499999999999838,7.449999999999957,9.24999999999998
SOC25,25%,35Ah,35 Ah,80.89914285714285,2.40000000000018,3.74999999999992,5.549999999999722,7.299999999999862,9.449999999999736
SOC25,25%,35Ah,35 Ah,80.04,2.500000000000169,3.549999999999942,5.449999999999733,7.14999999999999,9.199999999999875
