width_ms,soc_%,group,mae
50,5,0.5C|1.0C,0.015024340077153073
50,5,1.0C|1.5C,0.017564343089613868
50,5,1.5C|2.0C,0.016756856802490498
50,5,2.0C|2.5C,0.01660653160233827
50,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.015439201302242734
50,15,0.5C|1.0C,0.01469804230013352
50,15,1.0C|1.5C,0.015634346437676746
50,15,1.5C|2.0C,0.015446662118102543
50,15,2.0C|2.5C,0.015888871684848135
50,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.015179942828962647
50,25,0.5C|1.0C,0.01459151222450034
50,25,1.0C|1.5C,0.01470016089695058
50,25,1.5C|2.0C,0.015037825813202631
50,25,2.0C|2.5C,0.01478224122383729
50,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.014634611161454907
50,35,0.5C|1.0C,0.014231634431290503
50,35,1.0C|1.5C,0.014456348835831544
50,35,1.5C|2.0C,0.014239758377576225
50,35,2.0C|2.5C,0.014667447743098222
50,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.0146247510874359
50,45,0.5C|1.0C,0.015502982773287544
50,45,1.0C|1.5C,0.016182069913343304
50,45,1.5C|2.0C,0.016270880924407427
50,45,2.0C|2.5C,0.016721216761488536
50,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.01623825124245703
50,55,0.5C|1.0C,0.014580479929863246
50,55,1.0C|1.5C,0.01515059232328252
50,55,1.5C|2.0C,0.015544125331351109
50,55,2.0C|2.5C,0.016577130384096937
50,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.014965294012407225
50,65,0.5C|1.0C,0.012859665131207629
50,65,1.0C|1.5C,0.015119605350059727
50,65,1.5C|2.0C,0.015623331088601377
50,65,2.0C|2.5C,0.014395955419690815
50,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.013094141532333712
50,75,0.5C|1.0C,0.0029152255435500596
50,75,1.0C|1.5C,0.0034483692413788958
50,75,1.5C|2.0C,0.004047830565160837
50,75,2.0C|2.5C,0.0038700325594287766
50,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.007201747120804791
500,5,0.5C|1.0C,0.02284261524671962
500,5,1.0C|1.5C,0.027452580093296933
500,5,1.5C|2.0C,0.02659832738868637
500,5,2.0C|2.5C,0.02582705923526849
500,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.023093532294620966
500,15,0.5C|1.0C,0.01931110566869447
500,15,1.0C|1.5C,0.02011340378164403
500,15,1.5C|2.0C,0.019856015231621876
500,15,2.0C|2.5C,0.0199738702701609
500,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.01991354814828454
500,25,0.5C|1.0C,0.015958407940695543
500,25,1.0C|1.5C,0.019039388444856482
500,25,1.5C|2.0C,0.01915699656997901
500,25,2.0C|2.5C,0.01744719598954393
500,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.015700917519850466
500,35,0.5C|1.0C,0.015600109898894692
500,35,1.0C|1.5C,0.016079221293586486
500,35,1.5C|2.0C,0.01614296707910097
500,35,2.0C|2.5C,0.015852680133501357
500,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.015760038264053994
500,45,0.5C|1.0C,0.014036063223083933
500,45,1.0C|1.5C,0.015410367141787942
500,45,1.5C|2.0C,0.015384320414379236
500,45,2.0C|2.5C,0.015449140632341268
500,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.014589713152563865
500,55,0.5C|1.0C,0.015909216070695904
500,55,1.0C|1.5C,0.016446460649857098
500,55,1.5C|2.0C,0.016861567936031125
500,55,2.0C|2.5C,0.01670614518037497
500,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.016482393817962883
500,65,0.5C|1.0C,0.0142295358519746
500,65,1.0C|1.5C,0.013931339012038683
500,65,1.5C|2.0C,0.013810172390581129
500,65,2.0C|2.5C,0.013219860950784614
500,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.013602013576427999
500,75,0.5C|1.0C,0.004538436113586952
500,75,1.0C|1.5C,0.003682917533429475
500,75,1.5C|2.0C,0.003440193920957735
500,75,2.0C|2.5C,0.003801987043744126
500,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.007635563399760292
3000,5,0.5C|1.0C,0.017462364495957096
3000,5,1.0C|1.5C,0.022895511159404403
3000,5,1.5C|2.0C,0.023844777575249214
3000,5,2.0C|2.5C,0.030057718752041027
3000,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.017483746308337593
3000,15,0.5C|1.0C,0.01956755865495452
3000,15,1.0C|1.5C,0.02053137627246243
3000,15,1.5C|2.0C,0.019728556608560963
3000,15,2.0C|2.5C,0.01733818260299877
3000,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.017740418053982104
3000,25,0.5C|1.0C,0.017329871954012428
3000,25,1.0C|1.5C,0.0224882160988805
3000,25,1.5C|2.0C,0.018785677459414202
3000,25,2.0C|2.5C,0.018542331647875776
3000,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.016948796257758247
3000,35,0.5C|1.0C,0.01651368640119911
3000,35,1.0C|1.5C,0.017354617622503635
3000,35,1.5C|2.0C,0.01526607968110626
3000,35,2.0C|2.5C,0.015407089111733878
3000,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.01563819309062105
3000,45,0.5C|1.0C,0.015521594239541955
3000,45,1.0C|1.5C,0.016153723343283133
3000,45,1.5C|2.0C,0.015020186709529896
3000,45,2.0C|2.5C,0.014334930894351828
3000,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.014946064380474144
3000,55,0.5C|1.0C,0.01621713404530243
3000,55,1.0C|1.5C,0.017893090842914572
3000,55,1.5C|2.0C,0.018169965171641635
3000,55,2.0C|2.5C,0.014683591821267179
3000,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.014252388352832783
3000,65,0.5C|1.0C,0.011122595108438481
3000,65,1.0C|1.5C,0.01169655534526317
3000,65,1.5C|2.0C,0.010780729036711484
3000,65,2.0C|2.5C,0.01043585911504494
3000,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.010281981869799242
3000,75,0.5C|1.0C,0.004203118718589638
3000,75,1.0C|1.5C,0.004433818132626832
3000,75,1.5C|2.0C,0.0033924506632810325
3000,75,2.0C|2.5C,0.003431592517688542
3000,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.009280483980272647
5000,5,0.5C|1.0C,0.018984060155677523
5000,5,1.0C|1.5C,0.020888722779788586
5000,5,1.5C|2.0C,0.022963830142137178
5000,5,2.0C|2.5C,0.026985434022816956
5000,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.01800383960605605
5000,15,0.5C|1.0C,0.015134763731308018
5000,15,1.0C|1.5C,0.0187932769857614
5000,15,1.5C|2.0C,0.01773661648167993
5000,15,2.0C|2.5C,0.01697072191017587
5000,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.015190266830769093
5000,25,0.5C|1.0C,0.015259886902226969
5000,25,1.0C|1.5C,0.02256080965040827
5000,25,1.5C|2.0C,0.019433880287986132
5000,25,2.0C|2.5C,0.019917430124983808
5000,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.014946991448160762
5000,35,0.5C|1.0C,0.013565809379939744
5000,35,1.0C|1.5C,0.015892848278637874
5000,35,1.5C|2.0C,0.014134501577063223
5000,35,2.0C|2.5C,0.013927047526165231
5000,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.01379389817810069
5000,45,0.5C|1.0C,0.01321285482981856
5000,45,1.0C|1.5C,0.014000517996060256
5000,45,1.5C|2.0C,0.013044291832801924
5000,45,2.0C|2.5C,0.013899641148038166
5000,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.01306846298122687
5000,55,0.5C|1.0C,0.015130094833285947
5000,55,1.0C|1.5C,0.017665043019635562
5000,55,1.5C|2.0C,0.01792647726917783
5000,55,2.0C|2.5C,0.017892701671600182
5000,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.012432803712870737
5000,65,0.5C|1.0C,0.009879895351113749
5000,65,1.0C|1.5C,0.009612687986695265
5000,65,1.5C|2.0C,0.009739807755348273
5000,65,2.0C|2.5C,0.012354430155643869
5000,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.009124653852810367
5000,75,0.5C|1.0C,0.0034606893376398773
5000,75,1.0C|1.5C,0.0024100818491417653
5000,75,1.5C|2.0C,0.003450237950105489
5000,75,2.0C|2.5C,0.0040225205501371875
5000,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.004969217241116819
